,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,mileage,price
3,3,http://schema.org/,Car,['Sedan'],Toyota,Beige,2 wheel drive - front,https://images.autotrader.com/hn/c/68197693906f4eb69182dd4d0a51c310.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '10,927'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 14998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE9AZ325695,,Automatic,10927.0,14998
4,4,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/25712fea60e741f3b6eea3dead3d8313.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '71,751'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 14375, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE0AC267445,,,71751.0,14375
5,5,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/b6b4b0df720e41c8b341335d18bb0c5a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,983'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 13980, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE7AC362469,S,Automatic,78983.0,13980
6,6,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/6a3dec6f883f4f918911de450978b079.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,474'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE3AC456199,Gray,,96474.0,11995
7,7,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/a76504afd60641459250b92e74c0f16f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '17,946'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11994, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU40E89C159030,Ash,Automatic,17946.0,11994
8,8,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/dbafd5a7ffd44338ad5ef6379de6d926.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '25,916'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11889, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE5AC469648,,Automatic,25916.0,11889
9,9,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/af75782339c349938008f571e33d91f2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '75,929'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11478, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E999039827,,Automatic,75929.0,11478
10,10,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/1385d38dbef0484ea3bdb7dbac0b6a72.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '35,801'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E49Z162425,,Automatic,35801.0,10998
11,11,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '46,451'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10997, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE2AC456081,Dark Charcoal,Automatic,46451.0,10997
12,12,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/b764290773de454fb0e049458da0fda1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '75,220'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10994, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E599026718,Ash,Automatic,75220.0,10994
13,13,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,985'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE4AZ240098,Ash,Automatic,83985.0,10988
14,14,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/5fdb1e8d702748adb7f6c191142bb3aa.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '66,193'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10900, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE4A9095782,,,66193.0,10900
15,15,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/84c26279d5fe4dffb96d3833eaa047c0.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,155'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10856, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU40E69C072923,Black Cloth,,81155.0,10856
16,16,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/becf0fdc92aa49a48c3f0a89158a51f2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '27,808'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10799, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE8AZ247653,Bisque,Automatic,27808.0,10799
17,17,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/4276bc8fe41545d49f31a739ae2f1193.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,840'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10482, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE3AC455554,,Automatic,83840.0,10482
18,18,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/3ade806cbe4b4bd4926c11f6d460832a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '76,241'}",Corolla,Used 2010 Toyota Corolla XRS,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10410, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BE4EE9AC045130,Other,,76241.0,10410
