,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,price,mileage,price_over_mileage,trim
3,3,http://schema.org/,Car,['Sedan'],Toyota,Beige,2 wheel drive - front,https://images2.autotrader.com/hn/c/68197693906f4eb69182dd4d0a51c310.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '10,927'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 14998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500847637,4-Cylinder,1NXBU4EE9AZ325695,,Automatic,14998,10927.0,1.372563375125835, LE
4,4,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/25712fea60e741f3b6eea3dead3d8313.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '71,751'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 14375, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495749332,4-Cylinder,2T1BU4EE0AC267445,,,14375,71751.0,0.20034563978202394,
5,5,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/b6b4b0df720e41c8b341335d18bb0c5a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,983'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 13980, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=453025844,4-Cylinder,2T1BU4EE7AC362469,S,Automatic,13980,78983.0,0.1770001139485712,
6,6,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/6a3dec6f883f4f918911de450978b079.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,474'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=478301294,4-Cylinder,2T1BU4EE3AC456199,Gray,,11995,96474.0,0.12433401745548023,
7,7,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images2.autotrader.com/hn/c/dbafd5a7ffd44338ad5ef6379de6d926.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '25,916'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11889, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497873843,4-Cylinder,2T1BU4EE5AC469648,,Automatic,11889,25916.0,0.4587513505170551, S
8,8,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images2.autotrader.com/hn/c/af75782339c349938008f571e33d91f2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '75,929'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 11478, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497935472,4-Cylinder,JTDBL40E999039827,,Automatic,11478,75929.0,0.15116753809479908, LE
9,9,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/a76504afd60641459250b92e74c0f16f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '17,946'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10994, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501431979,4-Cylinder,2T1BU40E89C159030,Ash,Automatic,10994,17946.0,0.612615624651733, LE
10,10,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/702c3fd680d04eb09304506082c900bb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '92,523'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10991, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501857414,4-Cylinder,JTDBU4EE5A9097475,Ash,Automatic,10991,92523.0,0.11879208413043243, LE Sedan
11,11,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images2.autotrader.com/hn/c/4efee5d481644c61855c2e9a5e839a2f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '104,178'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10988, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501833279,4-Cylinder,1NXBU4EE9AZ332484,Dark Charcoal W/Unique Sport C,Automatic,10988,104178.0,0.10547332450229414, S
12,12,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images2.autotrader.com/hn/c/7fdf45b56abb4797a7b0c53417b98b12.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '46,454'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10987, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501230993,4-Cylinder,2T1BU4EE2AC456081,Dark Charcoal,Automatic,10987,46454.0,0.23651354027640245, S
13,13,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '61,237'}",Corolla,Used 2010 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10888, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501589054,4-Cylinder,JTDBU4EE0AJ074815,,Automatic,10888,61237.0,0.17780100266178944, XLE
14,14,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images2.autotrader.com/hn/c/84c26279d5fe4dffb96d3833eaa047c0.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,155'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10856, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496238879,4-Cylinder,2T1BU40E69C072923,Black Cloth,,10856,81155.0,0.1337687141888978,
15,15,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/06e7565c906c4796b931a3b87be5441f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '87,467'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10588, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500708061,4-Cylinder,1NXBU4EE4AZ240098,Bisque,Automatic,10588,87467.0,0.12105136794448192, LE
16,16,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images2.autotrader.com/hn/c/4276bc8fe41545d49f31a739ae2f1193.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,840'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10482, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500107788,4-Cylinder,2T1BU4EE3AC455554,,Automatic,10482,83840.0,0.12502385496183205, S
17,17,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images2.autotrader.com/hn/c/86b11d8a7464453a8ffe7df8a7716585.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '76,241'}",Corolla,Used 2010 Toyota Corolla XRS,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 10410, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501605977,4-Cylinder,2T1BE4EE9AC045130,Dark Charcoal,Automatic,10410,76241.0,0.1365407064440393, XRS
